run_id,date,area,pass,total
36091751385,2026-09-25,Blocks,27,38
36091751385,2026-09-25,Clocked,69,87
36091751385,2026-09-25,ComplexBlocks,2,2
36091751385,2026-09-25,Electrical,202,248
36091751385,2026-09-25,Fluid,20,38
36091751385,2026-09-25,Magnetic,60,78
36091751385,2026-09-25,Math,2,4
36091751385,2026-09-25,Mechanics,72,104
36091751385,2026-09-25,Media,20,27
36091751385,2026-09-25,StateGraph,10,15
36091751385,2026-09-25,Thermal,16,20
36091751385,2026-09-25,Utilities,2,3
36091751385,2026-09-25,TOTAL,502,664
